name,version,license
"swc-linux-arm64-musl","15.5.23","UNKNOWN"
"swc-linux-x64-gnu","15.5.23","UNKNOWN"
"swc-linux-x64-musl","15.5.23","UNKNOWN"
"swc-win32-arm64-msvc","15.5.23","UNKNOWN"
"swc-win32-x64-msvc","15.5.23","UNKNOWN"
"sharp","0.34.5","UNKNOWN"
"colour","1.1.0","UNKNOWN"
"sharp-darwin-arm64","0.34.5","UNKNOWN"
"sharp-darwin-x64","0.34.5","UNKNOWN"
"sharp-libvips-darwin-arm64","1.2.4","UNKNOWN"
"sharp-libvips-darwin-x64","1.2.4","UNKNOWN"
"sharp-libvips-linux-arm","1.2.4","UNKNOWN"
"sharp-libvips-linux-arm64","1.2.4","UNKNOWN"
"sharp-libvips-linux-ppc64","1.2.4","UNKNOWN"
"sharp-libvips-linux-riscv64","1.2.4","UNKNOWN"
"sharp-libvips-linux-s390x","1.2.4","UNKNOWN"
"sharp-libvips-linux-x64","1.2.4","UNKNOWN"
"sharp-libvips-linuxmusl-arm64","1.2.4","UNKNOWN"
"sharp-libvips-linuxmusl-x64","1.2.4","UNKNOWN"
"sharp-linux-arm","0.34.5","UNKNOWN"
"sharp-linux-arm64","0.34.5","UNKNOWN"
"sharp-linux-ppc64","0.34.5","UNKNOWN"
"sharp-linux-riscv64","0.34.5","UNKNOWN"
"sharp-linux-s390x","0.34.5","UNKNOWN"
"sharp-linux-x64","0.34.5","UNKNOWN"
"sharp-linuxmusl-arm64","0.34.5","UNKNOWN"
"sharp-linuxmusl-x64","0.34.5","UNKNOWN"
"sharp-wasm32","0.34.5","UNKNOWN"
"runtime","1.11.3","UNKNOWN"
"sharp-win32-arm64","0.34.5","UNKNOWN"
"sharp-win32-ia32","0.34.5","UNKNOWN"
"sharp-win32-x64","0.34.5","UNKNOWN"
"react","19.2.8","UNKNOWN"
"react-dom","19.2.8","UNKNOWN"
"scheduler","0.27.0","UNKNOWN"
"bullmq","6.0.8","UNKNOWN"
"cron-parser","5.7.0","UNKNOWN"
"luxon","3.7.2","UNKNOWN"
"msgpackr","2.0.5","UNKNOWN"
"msgpackr-extract","3.0.4","UNKNOWN"
"node-gyp-build-optional-packages","5.2.2","UNKNOWN"
